step,dynamic_goal_no_human,dynamic_goal_human_nearby,final_goal_no_human
1,0.0140453712,0.0049686834,0.0216233686
2,0.0180721336,0.0100888877,0.0402668375
3,0.0258453189,0.0182036648,0.0623524262
4,0.0369849545,0.025261106,0.0846435683
5,0.0365846255,0.0322303519,0.1050238467
6,0.04798046,0.0298952817,0.1253622988
7,0.0511167584,0.0351165279,0.145378206
8,0.0549553714,0.0349461614,0.1646250685
9,0.0584335309,0.036860059,0.1828870612
10,0.0571706027,0.0489141081,0.2007098395
11,0.0576135149,0.0627515387,0.218321438
12,0.0560851675,0.0742627698,0.2361249776
13,0.066217224,0.0720655882,0.2535369144
14,0.0754959014,0.0717177273,0.2701983054
15,0.0829534222,0.0654230017,0.2858090848
16,0.0869155647,0.0589113096,0.3002465053
17,0.0855289653,0.0635276349,0.3132812698
18,0.0856517944,0.0619176286,0.3256261638
19,0.083883086,0.0462200316,0.3362722821
20,0.080412793,0.0275171948,0.3430573319
21,0.0777859904,0.0108636524,0.3451558378
22,0.0747960784,0.0142401691,0.3434470328
23,0.0706840737,0.0276764547,0.3392943259
24,0.0663062693,0.0423993301,0.3340282509
25,0.062369703,0.0563827356,0.3285730306
26,0.057431814,0.0687817137,0.3234482124
27,0.0524907846,0.0798540862,0.3187212156
28,0.0465578867,0.0915535175,0.3141180464
29,0.0405909958,0.1055644798,0.3092619884
30,0.0277624178,0.1197537101,0.3040438042
31,0.0208585149,0.1348530773,0.2984839402
32,0.0194253061,0.1492274141,0.2924551101
33,0.0177532093,0.1631797188,0.2852062714
34,0.0184954965,0.1742486157,0.2766310909
35,0.0170979197,0.1854824284,0.2670912195
36,0.0177092043,0.1958609159,0.2575193089
37,0.0162154195,0.2025842926,0.248962509
38,0.0163420913,0.2053506022,0.2414924097
39,0.0141533202,0.204506265,0.2341772143
40,0.013294557,0.1999272272,0.2260882124
41,0.0092225441,0.1914237357,0.2171025895
42,0.0082719159,0.1762654254,0.20774667
43,0.005618288,0.1684368393,0.1986555669
44,0.0079090545,0.16206304,0.1896701849
45,0.0098836298,0.1575437448,0.1808860837
46,0.0090372603,0.1503869956,0.1739652801
47,0.0082256643,0.1392745534,0.1683606841
48,0.0086327323,0.1328691698,0.1641814648
49,0.0085153916,0.1229868514,0.1617710483
50,0.0103106622,0.1227587116,0.160879677
51,0.0140782239,0.1169047631,0.161302961
52,0.0190920572,0.1197519871,0.163180486
53,0.0196430601,0.1168036952,0.1666747131
54,0.0167355035,0.1227253549,0.1717603887
55,0.0182712326,0.1210263526,0.1775010136
56,0.0202429204,0.1305150497,0.1839196677
57,0.0161533023,0.1293383293,0.1907961427
58,0.0162923138,0.1382054937,0.1957516407
59,0.0188873093,0.140131515,0.1915240122
60,0.01351913,0.1522375287,0.1851656884
61,0.0126627426,0.1600585873,0.1782295627
62,0.014692958,0.1727566566,0.1716347915
63,0.0150495407,0.1787382427,0.1654439894
64,0.0157670565,0.183241002,0.1596502381
65,0.0187530322,0.1864333091,0.1540984447
66,0.0174219771,0.1873375616,0.148991891
67,0.0200685861,0.1898785221,0.1442212681
68,0.0175319091,0.1863492353,0.1398892798
69,0.0181228154,0.1799673406,0.1359177764
70,0.0177742679,0.1784684142,0.1321151139
71,0.0185994914,0.1696429955,0.128448606
72,0.0188082038,0.1668817847,0.1246770621
73,0.0183330346,0.1626288174,0.1208917953
74,0.0190061186,0.1586243945,0.116890538
75,0.0195942971,0.1566230532,0.1130150639
76,0.0204682642,0.1540103483,0.1097287265
77,0.0195256405,0.1507458976,0.1070288197
78,0.0171215405,0.147445324,0.1046503722
79,0.0167285648,0.1410306587,0.1020579764
80,0.0124647698,0.1350333755,0.0987529583
81,0.0123506455,0.1292977911,0.0961331673
82,0.0127849752,0.1237875014,0.0947071019
83,0.0138634719,0.1152797953,0.096218099
84,0.0152244961,0.1092218645,0.1007634788
85,0.0155980582,0.0993519643,0.1050139909
86,0.0133488114,0.0878682438,0.1097530922
87,0.0166741281,0.0856876992,0.115102907
88,0.0151517799,0.0797187935,0.1211266924
89,0.0187418144,0.069499998,0.127376837
90,0.0168033791,0.0591458006,0.1333788368
91,0.0158659854,0.0483436585,0.1385274383
92,0.0135925989,0.0399383221,0.1419972638
93,0.016646507,0.030900184,0.144215157
94,0.0162077036,0.0239410058,0.1456401885
95,0.0203478734,0.0187158412,0.1466803116
96,0.0230060124,0.0148796938,0.147439968
97,0.0266007685,0.0113428162,0.1471310267
98,0.027625269,0.0087073193,0.1446251434
99,0.0281221747,0.0081391555,0.1405056653
100,0.0290407643,0.0101846335,0.1353580188
101,0.0265763508,0.0126908188,0.1300004662
102,0.0286356084,0.0128357759,0.1244726696
103,0.027107745,0.0137651953,0.1181484086
104,0.0288710706,0.0135467663,0.1119085646
105,0.0276125626,0.0141437761,0.1053134304
106,0.0296180335,0.0130236951,0.0985658856
107,0.0296041086,0.0129040169,0.0915847284
108,0.0311159679,0.011932568,0.0846566723
109,0.0313728278,0.0121799771,0.0764437958
110,0.0288738152,0.0081226946,0.0693248601
111,0.0291341676,0.0053296783,0.0633550297
112,0.0281057222,0.0058770559,0.0581068678
113,0.0263369528,0.0050475064,0.0536101286
114,0.0156494419,0.0051452454,0.050170676
115,0.0097638841,0.0039299829,0.0473000518
116,0.0107405991,0.0041484145,0.0437618396
117,0.0154530772,0.0153871194,0.0404882737
118,0.0193339699,0.0162315636,0.0364330896
119,0.0235895615,0.0117170496,0.0364330896
120,0.0226567257,0.0105507731,0.0364330896
121,0.0240547381,0.0130027597,0.0364330896
122,0.0254419542,0.0119616769,0.0364330896
123,0.0245378057,0.0133761426,0.0364330896
124,0.0253582402,0.0150447971,0.0364330896
125,0.0253071931,0.018734334,0.0364330896
126,0.0240315114,0.019897459,0.0364330896
127,0.0224399342,0.0212642713,0.0364330896
128,0.0219435354,0.0229921767,0.0364330896
129,0.0228580218,0.025262358,0.0364330896
130,0.0250993794,0.0274120925,0.0364330896
131,0.0250993794,0.0286221666,0.0364330896
