epoch,train/episode,train/success_rate_rnn,train/success_rate_mlp,train/success_rate_1127_mlp,train/success_rate_joint_space
0,20,-0.0038847118,-0.0213032581,-0.0114035088,-0.0012531328
1,40,-0.0263157895,-0.0364661654,0.0002506266,-0.0043859649
2,60,-0.0052631579,-0.0047619048,-0.0082706767,-0.0060150376
3,80,-0.0080200501,-0.0270676692,-0.0231829574,0.013283208
4,100,-0.0045112782,-0.0047619048,-0.0030075188,-0.0011278195
5,120,-0.0260651629,-0.0634085213,-0.0010025063,-0.0046365915
6,140,-0.0047619048,-0.0045112782,-0.0003759398,-0.0076441103
7,160,-0.0026315789,-0.0018796992,-0.0022556391,-0.0220551378
8,180,-0.0022556391,-0.0023809524,-0.0061403509,-0.0016290727
9,200,-0.0030075188,-0.007518797,-0.0196741855,-0.0060150376
10,220,-0.0050125313,-0.0028822055,-0.0033834586,-0.0018796992
11,240,-0.0040100251,-0.0031328321,0,-0.0119047619
12,260,-0.0047619048,0.0016290727,0.0035087719,0.0115288221
13,280,0.0035087719,-0.0018796992,0.0506265664,-0.0021303258
14,300,-0.013283208,-0.0016290727,0.0471177945,-0.0020050125
15,320,-0.0058897243,-0.0030075188,0.1219298246,0.0110275689
16,340,0.0104010025,-0.0003759398,0.1368421053,0.0021303258
17,360,-0.0023809524,-0.0077694236,0.2535087719,0.0218045113
18,380,0.0076441103,-0.0022556391,0.1231829574,-0.0484962406
19,400,0.0276942356,0.0012531328,0.2047619048,0.0001253133
20,420,0.04160401,-0.001754386,0.1585213033,0.0101503759
21,440,0.0472431078,-0.0025062657,0.3619047619,0.0182957393
22,460,0.0515037594,-0.0016290727,0.2540100251,-0.000877193
23,480,0.115914787,0.0002506266,0.2463659148,0.0576441103
24,500,0.2139097744,-0.0036340852,0.4260651629,-0.0474937343
25,520,0.2494987469,0.0011278195,0.2751879699,0.0729323308
26,540,0.20839599,-0.001754386,0.365037594,0.040726817
27,560,0.2890977444,-0.0026315789,0.3294486216,-0.001754386
28,580,0.2652882206,-0.0107769424,0.3157894737,0.1101503759
29,600,0.3819548872,-0.0015037594,0.4013784461,0.1397243108
30,620,0.4537593985,0.0010025063,0.4312030075,0.0382205514
31,640,0.3823308271,-0.0031328321,0.3741854637,0.1174185464
32,660,0.4664160401,0.0061403509,0.5028822055,0.1565162907
33,680,0.4812030075,0.0239348371,0.3577694236,0.0139097744
34,700,0.5384711779,0.0134085213,0.4954887218,0.1139097744
35,720,0.4335839599,0.0086466165,0.4348370927,0.069924812
36,740,0.5828320802,0.0181704261,0.4320802005,0.0521303258
37,760,0.5629072682,0.0071428571,0.5635338346,0.1203007519
38,780,0.5843358396,0.0142857143,0.6270676692,0.0740601504
39,800,0.448245614,0.0045112782,0.4107769424,0.0927318296
40,820,0.6578947368,0.0081453634,0.4170426065,0.1097744361
41,840,0.6388471178,-0.0172932331,0.4383458647,0.1269423559
42,860,0.5620300752,0.0195488722,0.557518797,0.2140350877
43,880,0.6177944862,0.0246867168,0.5345864662,0.4324561404
44,900,0.4587719298,0.0245614035,0.5522556391,0.2471177945
45,920,0.5651629073,0.0664160401,0.3872180451,0.257518797
46,940,0.5804511278,0.0403508772,0.6315789474,0.2753132832
47,960,0.551754386,0.0200501253,0.6556390977,0.1926065163
48,980,0.640726817,0.0423558897,0.4768170426,0.3984962406
49,1000,0.6035087719,0.0530075188,0.5380952381,0.4
50,1020,0.527443609,0.0417293233,0.5563909774,0.3986215539
51,1040,0.5743107769,0.0295739348,0.6914786967,0.2868421053
52,1060,0.5878446115,0.0357142857,0.5857142857,0.3245614035
53,1080,0.4865914787,0.0754385965,0.5444862155,0.3418546366
54,1100,0.6228070175,0.0324561404,0.5540100251,0.4679197995
55,1120,0.6665413534,0.0570175439,0.5929824561,0.4348370927
56,1140,0.4065162907,0.0512531328,0.6337092732,0.3313283208
57,1160,0.6180451128,0.0614035088,0.4487468672,0.4854636591
58,1180,0.5662907268,0.0741854637,0.6880952381,0.3997493734
59,1200,0.4761904762,-0.0105263158,0.4901002506,0.2929824561
60,1220,0.5773182957,0.0793233083,0.3621553885,0.4614035088
61,1240,0.6055137845,0.0691729323,0.5671679198,0.3893483709
62,1260,0.5182957393,0.1046365915,0.6251879699,0.1330827068
63,1280,0.3761904762,0.0689223058,0.4733082707,0.4230576441
64,1300,0.5419799499,0.1010025063,0.5888471178,0.2890977444
65,1320,0.5388471178,0.0819548872,0.5026315789,0.1704260652
66,1340,0.5221804511,0.0977443609,0.5279448622,0.2018796992
67,1360,0.5088972431,0.1334586466,0.5766917293,0.2374686717
68,1380,0.4635338346,0.1270676692,0.5378446115,0.2434837093
69,1400,0.412406015,0.1293233083,0.5364661654,0.307518797
70,1420,0.4893483709,0.2447368421,0.4310776942,0.2719298246
71,1440,0.5397243108,0.1230576441,0.3796992481,0.3932330827
72,1460,0.5913533835,0.2446115288,0.4546365915,0.3562656642
73,1480,0.4541353383,0.1988721805,0.6161654135,0.2506265664
74,1500,0.4835839599,0.149122807,0.4164160401,0.2973684211
75,1520,0.4681704261,0.2453634085,0.6488721805,0.4666666667
76,1540,0.5459899749,0.2890977444,0.4135338346,0.1943609023
77,1560,0.5880952381,0.2617794486,0.6135338346,0.3617794486
78,1580,0.4788220551,0.3531328321,0.6457393484,0.5001253133
79,1600,0.5862155388,0.3521303258,0.4080200501,0.3347117794
80,1620,0.6324561404,0.262406015,0.5162907268,0.4483709273
81,1640,0.5616541353,0.2766917293,0.5007518797,0.3556390977
82,1660,0.434085213,0.2629072682,0.519924812,0.3387218045
83,1680,0.654887218,0.2786967419,0.544235589,0.3295739348
84,1700,0.5125313283,0.4144110276,0.5721804511,0.2472431078
85,1720,0.6028822055,0.3179197995,0.4610275689,0.2979949875
86,1740,0.5541353383,0.4296992481,0.5523809524,0.2883458647
87,1760,0.5953634085,0.3746867168,0.5289473684,0.3993734336
88,1780,0.5456140351,0.4076441103,0.5590225564,0.3037593985
89,1800,0.5835839599,0.3672932331,0.5231829574,0.4401002506
90,1820,0.5749373434,0.4390977444,0.6002506266,0.3988721805
91,1840,0.5766917293,0.3062656642,0.7062656642,0.2622807018
92,1860,0.5362155388,0.3382205514,0.5021303258,0.4865914787
93,1880,0.4474937343,0.3684210526,0.530952381,0.5056390977
94,1900,0.4862155388,0.4671679198,0.5266917293,0.2870927318
95,1920,0.5914786967,0.3687969925,0.4055137845,0.3932330827
96,1940,0.5547619048,0.4830827068,0.534085213,0.4372180451
97,1960,0.5035087719,0.4006265664,0.4538847118,0.350877193
98,1980,0.6438596491,0.4733082707,0.573433584,0.4798245614
99,2000,0.5136591479,0.4796992481,0.5423558897,0.2090225564
100,2020,0.6105263158,0.3116541353,0.5037593985,0.256641604
101,2040,0.5862155388,0.443358396,0.4890977444,0.3160401003
102,2060,0.4091478697,0.3545112782,0.6377192982,0.5263157895
103,2080,0.5743107769,0.5923558897,0.5195488722,0.3320802005
104,2100,0.5931077694,0.5374686717,0.5458646617,0.4640350877
105,2120,0.5266917293,0.4555137845,0.5463659148,0.2729323308
106,2140,0.5936090226,0.4755639098,0.5600250627,0.4390977444
107,2160,0.5948621554,0.5642857143,0.4645363409,0.2922305764
108,2180,0.6136591479,0.4582706767,0.4877192982,0.3427318296
109,2200,0.5834586466,0.5238095238,0.5652882206,0.2279448622
110,2220,0.5788220551,0.5704260652,0.5176691729,0.4507518797
111,2240,0.5812030075,0.4593984962,0.471679198,0.4602756892
112,2260,0.5770676692,0.469924812,0.5005012531,0.4088972431
113,2280,0.6276942356,0.4996240602,0.5343358396,0.4146616541
114,2300,0.6180451128,0.6047619048,0.4255639098,0.2906015038
115,2320,0.520802005,0.5068922306,0.5498746867,0.2788220551
116,2340,0.6616541353,0.5510025063,0.5515037594,0.428320802
117,2360,0.5877192982,0.5213032581,0.5205513784,0.3076441103
118,2380,0.6136591479,0.5050125313,0.5646616541,0.3817042607
119,2400,0.6058897243,0.5091478697,0.4263157895,0.2703007519
120,2420,0.6,0.5012531328,0.5233082707,0.3028822055
121,2440,0.4614035088,0.4464912281,0.4855889724,0.3280701754
122,2460,0.5591478697,0.4780701754,0.3157894737,0.3926065163
123,2480,0.5201754386,0.4332080201,0.4527568922,0.4887218045
124,2500,0.5902255639,0.4595238095,0.4561403509,