Our method,Previous RL based method,Previous RL based method +dymanic goal,123,step,ITOMP with STOMP optimizer
0.0272803916,0.0587587279,0.0598159918,0.0133262591,1,0.0051056918
0.0440165471,0.1046678242,0.1045733376,0.0133262591,2,0.0051056918
0.0621298745,0.1567684827,0.1551591416,0.019147546,3,0.0050732509
0.0819169949,0.211111263,0.2019660306,0.0203118034,4,0.0092744161
0.0847594791,0.2671881412,0.2452736344,0.0254995557,5,0.0101146491
0.097246791,0.3246116502,0.2866194361,0.0304296357,6,0.012024402
0.1052357427,0.3829723405,0.3267459584,0.031397792,7,0.0075621373
0.1136084486,0.4418307494,0.3617832176,0.0384318869,8,0.0066696843
0.1190120756,0.50110685,0.3944330389,0.0369201964,9,0.0029632497
0.1204242482,0.5607225962,0.4264612394,0.0385055036,10,0.0160118574
0.1133053679,0.6205732836,0.4581576173,0.038822565,11,0.0186215789
0.1049796278,0.6804870368,0.4899805507,0.039008287,12,0.0049826796
0.0970553492,0.7406638434,0.5256922319,0.0574011888,13,0.006006332
0.0955885351,0.797070769,0.5657778246,0.0610797692,14,0.0062110625
0.0947067513,0.8416809616,0.6016482412,0.0629305636,15,0.00900145
0.0925118503,0.8798683866,0.6333639348,0.0616962645,16,0.0095595275
0.0872834581,0.9169542812,0.6545993893,0.0606550666,17,0.0067798479
0.084518358,0.9554100324,0.6621430765,0.0596228864,18,0.0110821953
0.0866523542,0.9958919573,0.663424892,0.0594164503,19,0.0028467439
0.091724423,1.036928943,0.6577721486,0.059401655,20,0.0011996537
0.0830743605,1.075345203,0.6451329727,0.059398696,21,0.0008702356
0.0791005382,1.112022648,0.6411481676,0.0593981042,22,0.000804352
0.0780812703,1.148014138,0.6255231199,0.0593979858,23,0.0007911753
0.0779520185,1.184144487,0.6101607047,0.0593979621,24,0.0007885399
0.0701341348,1.221057014,0.5984145959,0.0593979574,25,0.0007880129
0.0759445335,1.259089443,0.5917369617,0.0593979564,26,0.038323607
0.085111823,1.298861783,0.5906420301,0.0593979563,27,0.0383236068
0.078194925,1.339616181,0.5942312281,0.0593979562,28,0.0383236067
0.0838685734,1.380951296,0.6014458402,0.0593979562,29,0.0383236067
0.0812901247,1.422357676,0.6126083251,0.0593979562,30,0.0383236067
0.0798974873,1.463816178,0.6272805286,0.0593979562,31,0.0383236067
0.0848908323,1.505371744,0.6443215609,0.0593979562,32,0.0383236067
0.094008651,1.547207258,0.654999069,0.0593979562,33,0.0383236067
0.1089486001,1.588320733,0.6705809507,0.0593162379,34,0.0383236067
0.1296747524,1.629360474,0.686714521,0.059088016,35,0.0462163135
0.1435808798,1.670463527,0.7053757439,0.0589171374,36,0.0477948549
0.1529331126,1.711545328,0.7201720567,0.0694342485,37,0.0500285429
0.1704861116,1.752479966,0.7279276005,0.0714426119,38,0.0504752805
0.1852876302,1.793118958,0.7335664519,0.1057200629,39,0.050564628
0.2009884144,1.833117223,0.7383432323,0.12241704,40,0.0505824975
0.2156503256,1.87225398,0.7558194968,0.1257564354,41,0.0505860714
0.2312210504,1.910448583,0.7736498127,0.1264243145,42,0.0505867862
0.2443969042,1.947671473,0.7898250868,0.1265578903,43,0.0505869292
0.2565274648,1.983955085,0.8045299507,0.1265846055,44,0.0505869578
0.2669776403,2.019471881,0.8159901992,0.1265899485,45,0.0505869635
0.2761743745,2.052450271,0.8275557942,0.1265910171,46,0.0505869646
0.2867389868,2.080437362,0.8414756404,0.126938224,47,0.0505869648
0.2959458774,2.103457504,0.8564291565,0.1270076653,48,0.0505869649
0.3034131843,2.121537701,0.8703921564,0.1314338763,49,0.0505869649
0.3077520647,2.135866013,0.8839955792,0.1353045648,50,0.0505869649
0.2939687964,2.146708282,0.895384263,0.1360787025,51,0.0505869649
0.2790758079,2.154376573,0.9052862542,0.1486716448,52,0.0505869649
0.2668112592,2.159084431,0.9134115207,0.1574169362,53,0.0505869649
0.2533060002,2.161242301,0.9202721747,0.1773983306,54,0.0505869649
0.2411797038,2.161039239,0.9255673561,0.2175163759,55,0.0559151794
0.2339001222,2.15882012,0.9299210188,0.225539985,56,0.0663631374
0.2362288932,2.155404638,0.9338740716,0.4235536869,57,0.0778301967
0.2479328209,2.151642209,0.9384644528,0.4631564273,58,0.1446525535
0.2680183103,2.146806466,0.9442487303,0.4308364282,59,0.1603057685
0.2866441989,2.131143537,0.9496469416,0.4092571877,60,0.2114783589
0.3112068642,2.113086613,0.9574988607,0.4049413396,61,0.221712877
0.3320392994,2.094747345,0.9665635443,0.40407817,62,0.2237597806
0.3564103889,2.076406809,0.977890398,0.4039055361,63,0.2241691613
0.3790270257,2.05790415,0.9907653207,0.4038710093,64,0.2242510375
0.4024494369,2.039706251,1.007113868,0.403864104,65,0.2242674127
0.414101968,2.02207753,1.024807191,0.4038627229,66,0.1956608624
0.4109906202,2.005071312,1.040621323,0.3420448368,67,0.1965510059
0.4018983361,1.988656375,1.059655887,0.3296812596,68,0.2422713943
0.3925690317,1.970482982,1.082607626,0.292759546,69,0.2988170927
0.3819202745,1.949573443,1.108118543,0.2721278918,70,0.3110945843
0.3729810772,1.929226047,1.134285422,0.2593744149,71,0.4275643022
0.3728902231,1.910069806,1.159908177,0.2241726879,72,0.5261983184
0.374576405,1.892248452,1.184792112,0.2156041092,73,0.5564488758
0.3829822973,1.875853424,1.20979158,0.2120913304,74,0.6109947412
0.3982605935,1.860624358,1.235769699,0.2113887747,75,0.6330112689
0.4156384391,1.846697792,1.264551995,0.2576301546,76,0.7368796291
0.4322090082,1.834565146,1.294435023,0.302647843,77,0.7907628261
0.4433108914,1.823770922,1.324592234,0.3383785766,78,0.8078171167
0.4456174135,1.814691305,1.35386739,0.3577385661,79,0.8355627978
0.4388325762,1.807415321,1.382636474,0.3631517379,80,0.8485125089
0.4289217873,1.802042098,1.410977883,0.3642343722,81,0.8511024511
0.4187409271,1.798649614,1.438803128,0.3644508991,82,0.8516204395
0.417231235,1.797072751,1.466524129,0.3644942045,83,0.8517240372
0.425021496,1.800117965,1.487846482,0.3645028655,84,0.8517447567
0.4455787919,1.807527683,1.503314634,0.3645045977,85,0.8517489006
0.4680055156,1.818556127,1.518485536,0.3645049442,86,0.8517497294
0.476467224,1.833634258,1.530938525,0.3645050135,87,0.8517498952
0.4746460154,1.842144027,1.544532132,0.3275107655,88,0.8517499283
0.4578500547,1.850658729,1.559815614,0.3201119159,89,0.851749935
0.4233238974,1.860610965,1.576699308,0.3033837618,90,0.8517499363
0.3858927065,1.871640577,1.594294135,0.2848693792,91,0.8517499366
0.3494003523,1.883442832,1.61190579,0.2811665027,92,0.8517499366
0.3174191308,1.895592311,1.632025791,0.2277341725,93,0.8517499366
0.2839704048,1.9084478,1.656583492,0.2170477064,94,0.7637534675
0.2534274488,1.921823518,1.679005666,0.192144713,95,0.7367765523
0.2295828237,1.935936635,1.699684544,0.2519370088,96,0.7591384324
0.210005346,1.950412251,1.719836538,0.2949572459,97,0.8268442602
0.1858167218,1.965133027,1.740478448,0.3521347247,98,0.8486705157
0.1652964014,1.980088692,1.761920725,0.3785414669,99,0.9131469965
0.135655937,1.995372985,1.784055135,0.3993297378,100,0.9217638076
0.1145371624,2.011058055,1.773407315,0.4034873919,101,0.9234871698
0.0775516627,2.027269657,1.758078466,0.4043189228,102,0.9238318423
0.0470134966,2.043913692,1.770846088,0.4044852289,103,0.9239007768
0.0465803358,2.061164969,1.790738275,0.4045184902,104,0.9239145637
0.0546776054,2.050176004,1.779527504,0.4045251424,105,0.923917321
0.0601316033,2.059747046,1.793559486,0.4045264729,106,0.8851732246
0.0601039694,2.053491217,1.781275737,0.404526739,107,0.8849266385
0.0438329925,2.064050107,1.794745842,0.4045267922,108,0.8867083658
0.0269526708,2.080417996,1.782337787,0.3525323461,109,0.8837076844
0.0409086689,2.098701918,1.795662565,0.2980866826,110,0.8784557636
0.0557504464,,1.816141365,0.2719801619,111,0.8294548579
0.0605408199,,1.838984335,0.2525348468,112,0.808419036
0.0693779752,,1.86355123,0.2433128184,113,0.7648114358
0.081127345,,1.889353613,0.2354056362,114,0.7448222851
0.0937161826,,1.915278682,0.2710398637,115,0.6621860423
0.0986880604,,1.942049412,0.2920809236,116,0.5401877302
0.106167958,,1.970113012,0.2885421968,117,0.4813436662
0.1274178455,,1.9991299,0.234062266,118,0.3645426188
0.1408409818,,2.029159802,0.2007927457,119,0.3043641757
0.1659244692,,2.059389514,0.123198114,120,0.2009533931
0.192319637,,2.08839929,0.1076791877,121,0.1802712366
0.1808339537,,2.100237411,0.1045754024,122,0.1761348053
0.1526034701,,2.100903439,0.0779560241,123,0.1114931312
0.1287075439,,2.098874304,0.0726321484,124,0.0844447696
0.114636543,,2.099934305,0.0539160446,125,0.0719662746
0.113613312,,2.104194313,0.0373839712,126,0.0694705756
0.1129940459,,2.10879602,0.0267800756,127,0.0688794277
0.1048663358,,,0.0246592965,128,0.0687364666
,,,0.0268669359,129,0.0687063088
,,,0.0274521008,130,0.0687002772
,,,0.0275691337,131,0.0686995153
,,,0.0276394645,132,0.0686994941
,,,0.0276662796,133,0.0686995733
,,,0.0276716426,134,0.0686996442
,,,0.0276717543,135,0.0686996583
,,,0.0276706017,136,0.068699679
,,,0.027670101,137,0.0686996905
,,,0.0276700009,138,0.0686996974
,,,0.0276699906,139,0.0686996988
,,,0.0276699886,140,0.068699703
